symbol,company_name,current_price,count_last_30_days,2026-08-21,2026-08-22,2026-08-23,2026-08-24,2026-08-25,2026-08-26,2026-08-27,2026-08-28,2026-08-29,2026-08-30,2026-08-31,2026-09-01,2026-09-02,2026-09-03,2026-09-04,2026-09-05,2026-09-06,2026-09-07,2026-09-08,2026-09-09,2026-09-10,2026-09-11,2026-09-12,2026-09-13,2026-09-14,2026-09-15,2026-09-16,2026-09-17,2026-09-18,2026-09-19,2026-09-20,2026-09-21,2026-09-22,2026-09-23
ABR,Arbor Realty Trust,4.340000152587891,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28000020980835,4.340000152587891
ADAM,"Adamas Trust, Inc.",8.920000076293945,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.960000038146973,8.970000267028809,,,,,8.920000076293945
ADT,ADT Inc.,6.619999885559082,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.619999885559082
AGO,Assured Guaranty Ltd.,70.3499984741211,5,74.28,,,,74.19,75.14,,,,,,,,,,,,,,,73.0,,,,,,,,71.29000091552734,,,,70.3499984741211,
AIG,"American International Group, Inc. New",75.75,0,75.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIOT,"PowerFleet, Inc.",2.94,1,,,,,,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALGN,"Align Technology, Inc.",158.83999633789062,4,,,,,159.64,160.38999938964844,159.13999938964844,158.83999633789062,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLY,Ally Financial Inc.,42.45,1,,,,,42.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMSF,"AMERISAFE, Inc.",24.799999237060547,12,25.70,,,,26.42,26.415000915527344,26.290000915527344,26.139999389648438,,,,26.040000915527344,25.940000534057617,25.940000534057617,26.139999389648438,,,,25.989999771118164,25.989999771118164,24.899999618530273,24.799999237060547,,,,,,,,,,,,
ANIP,"ANI Pharmaceuticals, Inc.",70.69999694824219,6,,,,,,,,,,,,,71.91999816894531,71.91999816894531,,,,,71.2300033569336,71.2300033569336,70.2300033569336,70.69999694824219,,,,,,,,,,,,
APEI,"American Public Education, Inc.",43.43000030517578,1,44.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.43000030517578
APLE,"Apple Hospitality REIT, Inc. Common Shares",15.260000228881836,1,,,,,,,,,,,,,,,,,,,,,15.260000228881836,,,,,,,,,,,,,
APOG,"Apogee Enterprises, Inc.",38.060001373291016,3,,,,,,,,,,,,,37.59000015258789,37.59000015258789,38.060001373291016,,,,,,,,,,,,,,,,,,,
APTV,Aptiv PLC Ordinary Shares,45.029998779296875,8,47.03,,,,47.34,46.369998931884766,46.27000045776367,45.439998626708984,,,,44.7599983215332,44.849998474121094,44.849998474121094,45.029998779296875,,,,,,,,,,,,,,,,,,,
AQN,Algonquin Power & Utilities Corp. Common Shares,5.239999771118164,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28000020980835,,,,,,5.239999771118164
ARI,"Apollo Commercial Real Estate Finance, Inc",6.429999828338623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.429999828338623
ARKO,ARKO Corp.,4.5,7,4.59,,,,4.72,4.695000171661377,4.670000076293945,4.460000038146973,,,,4.559999942779541,4.5,4.5,,,,,,,,,,,,,,,,,,,,
ASO,"Academy Sports and Outdoors, Inc.",42.630001068115234,3,,,,,,43.880001068115234,43.54999923706055,42.630001068115234,,,,,,,,,,,,,,,,,,,,,,,,,,
ATO,Atmos Energy Corporation,158.27000427246094,3,,,,,167.82,167.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.27000427246094
AZZ,AZZ Inc.,135.14999389648438,2,,,,,,139.21499633789062,,,,,,,,,135.14999389648438,,,,,,,,,,,,,,,,,,,
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,113.23999786376953,2,,,,,,,,,,,,,,,,,,,113.23999786376953,113.23999786376953,,,,,,,,,,,,,,
BAC,Bank of America Corporation,57.72999954223633,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.900001525878906,,,,57.72999954223633,
BANC,"Banc of California, Inc.",18.65,0,18.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANF,BancFirst Corporation,107.70999908447266,3,,,,,,,,110.4000015258789,,,,,107.70999908447266,107.70999908447266,,,,,,,,,,,,,,,,,,,,
BC,Brunswick Corporation,66.0,9,,,,,,,,,,,,,73.37000274658203,73.37000274658203,74.44999694824219,,,,,,71.94999694824219,70.93000030517578,,,,,,68.80000305175781,67.72000122070312,,,,67.55000305175781,66.0
BFAM,Bright Horizons Family Solutions Inc.,65.86000061035156,2,,,,,,,,,,,,,,,,,,,,,66.61000061035156,65.86000061035156,,,,,,,,,,,,
BHE,"Benchmark Electronics, Inc.",70.27999877929688,4,,,,,71.72,72.70999908447266,72.31999969482422,,,,,70.27999877929688,,,,,,,,,,,,,,,,,,,,,,
