symbol,as_of_date,valuation_rating,valuation_composite,trend_rating,golden_cross,death_cross,momentum_rating,quality_rating,rsi_rating,rsi_14,range52w_rating,range_position_52w,insider_buying_flag,insider_cluster_buy_count,congress_buy_flag,congress_sell_flag,recommendation,recommendation_score,bullish_count,bearish_count,core_indicators_available
AAPL,2026-08-11,5.0,0.12431831606935013,2.0,0,0,2.0,1.0,2.0,42.047377034075815,2.0,0.6982496810499145,0,,0,0,HOLD,2.7411764705882353,4,1,5
MSFT,2026-08-11,5.0,0.1963778296083835,2.0,0,0,3.0,2.0,5.0,77.05855355271461,1.0,0.8066577886954162,1,1.0,0,0,HOLD,2.558823529411765,3,1,5
NVDA,2026-08-11,5.0,0.0960194694965289,1.0,0,0,2.0,3.0,4.0,57.401377050696766,2.0,0.7359038612903757,0,,0,1,HOLD,2.988235294117647,3,1,5
GOOGL,2026-08-11,5.0,0.21126807437663725,3.0,0,0,2.0,3.0,3.0,47.110438528164565,2.0,0.7269774760756506,0,,1,0,HOLD,3.2,2,1,5
A,2026-08-11,4.0,0.2564130724483468,1.0,1,0,2.0,3.0,5.0,74.06226031885825,1.0,0.8574399793064917,0,,0,0,BUY,2.447058823529412,3,1,5
AA,2026-08-11,2.0,0.5956888355778279,5.0,0,1,3.0,3.0,4.0,63.107882826324456,3.0,0.44749700983261687,0,,0,0,HOLD,2.9058823529411764,1,1,5
AADX,2026-08-11,,,,0,0,,,3.0,52.264806719825565,,,0,,0,0,,,0,0,0
AAL,2026-08-11,2.0,0.7297643236628294,3.0,0,0,2.0,3.0,3.0,48.15097962745097,2.0,0.6555834225782713,0,,0,0,BUY,2.2823529411764705,3,0,5
AAME,2026-08-11,1.0,0.9550584320131461,5.0,0,0,5.0,3.0,2.0,33.123738746046854,5.0,0.0,0,,0,0,HOLD,3.423529411764706,1,3,5
AAMI,2026-08-11,5.0,0.22259294566253573,1.0,0,0,1.0,3.0,4.0,68.17569028348623,1.0,0.9992021473694527,0,,0,0,HOLD,2.5764705882352934,3,1,5
AAOI,2026-08-11,5.0,0.1544823275864582,3.0,0,0,1.0,3.0,3.0,54.99724793927224,3.0,0.5501203120932241,0,,0,0,HOLD,3.2588235294117647,1,1,5
AAON,2026-08-11,5.0,0.12535748331744517,4.0,0,0,3.0,4.0,2.0,33.757697746397795,5.0,0.19058574467451714,0,,0,0,STRONG SELL,4.364705882352942,0,4,5
AAP,2026-08-11,2.0,0.6656906073468586,3.0,0,0,4.0,3.0,2.0,42.99108882474983,2.0,0.6353971036186796,0,,0,0,HOLD,2.6352941176470592,2,1,5
AAPG,2026-08-11,,,3.0,0,0,5.0,,3.0,53.987159877846025,5.0,0.06792691010936912,0,,0,0,STRONG SELL,4.590909090909092,0,2,3
AARD,2026-08-11,3.0,0.49888641425389757,3.0,0,0,5.0,5.0,4.0,57.12075865550972,4.0,0.27135680232518533,0,,0,0,SELL,3.9411764705882355,0,3,5
AAT,2026-08-11,3.0,0.4298718909481149,3.0,0,0,2.0,3.0,2.0,31.01310818141087,3.0,0.5970142143300774,1,1.0,0,0,HOLD,2.5235294117647062,1,0,5
AAUC,2026-08-11,,,5.0,0,0,3.0,,4.0,55.623516612790986,3.0,0.5247185586903731,0,,0,0,HOLD,3.4090909090909096,0,1,3
ABAT,2026-08-11,5.0,0.23066815399419982,5.0,0,0,4.0,2.0,4.0,57.00961791369382,5.0,0.06458559155165686,0,,0,0,STRONG SELL,4.294117647058823,1,4,5
ABBV,2026-08-11,5.0,0.07006673021925644,1.0,0,0,2.0,1.0,3.0,53.02068670110202,1.0,0.8203491182827846,0,,0,0,BUY,2.4,4,1,5
ABCB,2026-08-11,2.0,0.723069590085796,2.0,0,0,2.0,,3.0,47.952866095498806,1.0,0.8099058303917249,0,,0,0,STRONG BUY,1.7142857142857144,4,0,4
ABCL,2026-08-11,5.0,0.23019197912510236,2.0,0,0,1.0,3.0,5.0,78.93312871333556,1.0,1.0,1,2.0,0,0,BUY,2.3823529411764706,3,1,5
ABEO,2026-08-11,4.0,0.33893564674552296,1.0,0,0,2.0,3.0,4.0,69.76155291519089,1.0,0.9969512948601311,0,,0,0,BUY,2.447058823529412,3,1,5
ABG,2026-08-11,1.0,0.909437559580553,3.0,0,0,4.0,3.0,2.0,43.19649030604805,3.0,0.40751941750975534,1,2.0,0,0,BUY,2.264705882352941,1,1,5
ABM,2026-08-11,2.0,0.7200580254455855,1.0,0,0,3.0,1.0,4.0,59.485016318968974,1.0,0.932755908108709,0,,0,0,STRONG BUY,1.6588235294117646,4,0,5
ABOS,2026-08-11,3.0,0.5157492841234489,3.0,0,1,2.0,5.0,4.0,58.5652885034087,3.0,0.5817756837544467,0,,0,0,HOLD,3.1764705882352944,1,1,5
ABR,2026-08-11,1.0,0.9264755542849841,4.0,0,0,5.0,,4.0,56.88345116918665,5.0,0.08386222255419705,1,1.0,0,0,HOLD,3.0857142857142854,1,3,4
ABSI,2026-08-11,5.0,0.16664917133708118,2.0,0,0,1.0,4.0,4.0,58.62814255657739,2.0,0.7467811509032802,1,2.0,0,0,HOLD,2.7941176470588243,3,2,5
