symbol,as_of_date,valuation_rating,valuation_composite,trend_rating,golden_cross,death_cross,momentum_rating,quality_rating,rsi_rating,rsi_14,range52w_rating,range_position_52w,insider_buying_flag,insider_cluster_buy_count,congress_buy_flag,congress_sell_flag,recommendation,recommendation_score,bullish_count,bearish_count,core_indicators_available,industry_category
A,2026-08-14,4.0,0.2617276111037398,1.0,1,0,2.0,3.0,4.0,69.04623063622334,1.0,0.8336683773387702,0,,0,0,BUY,2.447058823529412,3,1,5,Medical Devices & Instruments
AA,2026-08-14,2.0,0.615683239661515,5.0,0,1,3.0,3.0,3.0,51.745444379548026,4.0,0.3811469710911677,0,,0,0,HOLD,3.1411764705882352,1,2,5,Metals
AACB,2026-08-14,,,1.0,0,0,3.0,3.0,4.0,62.47292469281457,1.0,1.0,0,,0,0,BUY,2.016949152542373,2,0,4,Investment & Holding Companies
AACI,2026-08-14,,,,0,0,,,4.0,63.33833522489724,1.0,1.0,0,,0,0,,,1,0,1,Investment & Holding Companies
AACO,2026-08-14,,,,0,0,,,4.0,65.69266027322381,1.0,0.8571457765667575,1,2.0,0,0,,,1,0,1,Investment & Holding Companies
AACP,2026-08-14,,,,0,0,,,4.0,65.12736727327322,,,0,,0,0,,,0,0,0,Investment & Holding Companies
AADX,2026-08-14,4.0,0.3206299212598425,,0,0,,,2.0,41.35633207222852,,,0,,0,0,,,0,1,1,Aerospace & Defense
AAL,2026-08-14,2.0,0.7325459289998801,3.0,0,0,3.0,3.0,2.0,43.78458975170773,3.0,0.583437894497526,0,,0,0,HOLD,2.6941176470588237,1,0,5,Airlines
AAME,2026-08-14,1.0,0.9550706394882565,5.0,0,0,5.0,3.0,2.0,37.74493613499262,5.0,0.014218052320222364,0,,0,0,HOLD,3.423529411764706,1,3,5,Insurance
AAMI,2026-08-14,5.0,0.22475106685633003,1.0,0,0,1.0,3.0,4.0,67.83772843813134,1.0,0.9873480806644689,0,,0,0,HOLD,2.5764705882352934,3,1,5,Investment & Brokerage
AAOI,2026-08-14,5.0,0.14043099758688485,2.0,0,0,1.0,3.0,4.0,61.050265953730076,2.0,0.642355458673585,0,,0,0,HOLD,2.9176470588235293,3,1,5,Semiconductors & Chips
AAON,2026-08-14,5.0,0.12612612612612611,4.0,0,0,4.0,4.0,2.0,36.7998038744891,5.0,0.1932282290399144,0,,0,0,STRONG SELL,4.541176470588235,0,5,5,Industrial Machinery
AAP,2026-08-14,2.0,0.6549399172419725,3.0,0,0,4.0,3.0,3.0,50.411427703866536,2.0,0.7429594622923287,0,,0,0,HOLD,2.6352941176470592,2,1,5,Retail
AAPG,2026-08-14,,,3.0,0,0,5.0,,4.0,55.35701297934483,5.0,0.0740147194018907,0,,0,0,STRONG SELL,4.590909090909092,0,2,3,Pharmaceuticals & Biotech
AAPL,2026-08-14,5.0,0.12566408952551858,2.0,0,0,2.0,1.0,2.0,43.81779013414094,2.0,0.7074101253053514,0,,0,0,HOLD,2.7411764705882353,4,1,5,Computer Hardware
AARD,2026-08-14,3.0,0.5363779527559055,3.0,0,0,5.0,5.0,3.0,50.55059503171603,4.0,0.21966977605802995,0,,0,0,SELL,3.9411764705882355,0,3,5,Pharmaceuticals & Biotech
AAT,2026-08-14,3.0,0.42646459504106055,3.0,0,0,2.0,3.0,2.0,39.201350539970846,2.0,0.6438462061007284,1,1.0,0,0,BUY,2.2882352941176474,2,0,5,Investment & Holding Companies
AAUC,2026-08-14,,,4.0,0,0,3.0,,4.0,57.72555165414821,3.0,0.5384616117478203,0,,0,0,HOLD,3.2045454545454555,0,1,3,Mining & Minerals
ABAT,2026-08-14,5.0,0.24541871816525807,5.0,0,0,4.0,2.0,3.0,50.24936371472512,5.0,0.048439187247742106,0,,0,0,STRONG SELL,4.294117647058823,1,4,5,Mining & Minerals
ABBV,2026-08-14,5.0,0.07017543859649122,1.0,0,0,2.0,1.0,3.0,51.42126918326661,2.0,0.7943996605277868,0,,0,0,HOLD,2.635294117647059,4,1,5,Pharmaceuticals & Biotech
ABCB,2026-08-14,2.0,0.7145566619250829,2.0,0,0,2.0,,4.0,55.50849196275561,1.0,0.8627944917674232,0,,0,0,STRONG BUY,1.7142857142857144,4,0,4,Banks & Financial Services
ABCL,2026-08-14,5.0,0.20701045979190907,1.0,0,0,1.0,3.0,5.0,83.89139035102586,1.0,1.0,1,2.0,0,0,BUY,2.2764705882352936,3,1,5,Pharmaceuticals & Biotech
ABEO,2026-08-14,4.0,0.3811587361142713,2.0,0,0,3.0,3.0,2.0,39.6379834303133,3.0,0.5516717563115703,0,,0,0,HOLD,3.2,1,1,5,Pharmaceuticals & Biotech
ABEV,2026-08-14,,,4.0,0,0,3.0,,1.0,27.02973100608979,3.0,0.5287859505129228,0,,0,0,HOLD,3.2045454545454555,0,1,3,Food & Beverage
ABG,2026-08-14,1.0,0.910384068278805,4.0,0,0,4.0,3.0,2.0,44.50196088542363,3.0,0.41561900840745986,1,2.0,0,0,BUY,2.370588235294118,1,2,5,Retail
ABM,2026-08-14,2.0,0.7245099534901045,1.0,0,0,3.0,1.0,4.0,56.317621428473416,1.0,0.9015354914048882,0,,0,0,STRONG BUY,1.6588235294117646,4,0,5,Services
ABNB,2026-08-14,,,1.0,0,0,1.0,2.0,5.0,74.99152565141563,1.0,0.9854598822321788,0,,0,0,STRONG BUY,1.254237288135593,4,0,4,Services
ABOS,2026-08-14,4.0,0.34708661417322834,2.0,0,0,2.0,5.0,4.0,66.80670109863489,2.0,0.6728972649822133,0,,0,0,HOLD,3.1411764705882357,3,2,5,Pharmaceuticals & Biotech
