symbol,as_of_date,valuation_rating,valuation_composite,trend_rating,golden_cross,death_cross,momentum_rating,quality_rating,rsi_rating,rsi_14,range52w_rating,range_position_52w,insider_buying_flag,insider_cluster_buy_count,congress_buy_flag,congress_sell_flag,recommendation,recommendation_score,bullish_count,bearish_count,core_indicators_available,industry_category,company_name,shares_outstanding
A,2026-08-21,5.0,0.24200451976579873,1.0,0,0,2.0,3.0,5.0,80.54267060625666,1.0,1.0,0,,0,0,HOLD,2.7529411764705882,3,1,5,Medical Devices & Instruments,"Agilent Technologies, Inc. Common Stock",282218158.0
AA,2026-08-21,2.0,0.5994346740720968,4.0,0,1,3.0,3.0,4.0,55.34919968121216,3.0,0.41345407679952756,0,,0,0,HOLD,2.8,1,1,5,Metals,Alcoa Corporation Common Stock,263102406.0
AACI,2026-08-21,,,,0,0,,,4.0,65.346814027256,1.0,0.9499988079059676,0,,0,0,,,1,0,1,Investment & Holding Companies,Armada Acquisition Corp. III - Class A Ordinary Share,
AACO,2026-08-21,,,,0,0,,,5.0,75.00595332516377,1.0,1.0,1,2.0,0,0,,,1,0,1,Investment & Holding Companies,Abony Acquisition Corp. I - Class A Ordinary Share,
AACP,2026-08-21,,,,0,0,,,5.0,77.60374356657888,,,0,,0,0,,,0,0,0,Investment & Holding Companies,Apogee Acquisition Corp - Class A Ordinary Shares,
AADX,2026-08-21,4.0,0.3692501575299307,,0,0,,,2.0,30.63752876894597,,,0,,0,0,,,0,1,1,Aerospace & Defense,"Applied Aerospace & Defense, Inc. Common Stock",129678789.0
AAL,2026-08-21,2.0,0.7344140492947817,4.0,0,0,3.0,3.0,2.0,37.99161818902574,3.0,0.4567126352883459,0,,0,0,HOLD,2.8,1,1,5,Airlines,"American Airlines Group, Inc. - Common Stock",661936666.0
AAME,2026-08-21,1.0,0.9548791160288075,5.0,0,0,5.0,3.0,2.0,31.469685643200904,5.0,0.004629625286012616,0,,0,0,HOLD,3.423529411764706,1,3,5,Insurance,Atlantic American Corporation - Common Stock,20397228.0
AAMI,2026-08-21,5.0,0.2197437114380636,1.0,0,0,1.0,3.0,4.0,64.09762955670304,1.0,0.9832605649102699,0,,0,0,HOLD,2.5764705882352934,3,1,5,Investment & Brokerage,Acadian Asset Management Inc. Common Stock,
AAOI,2026-08-21,5.0,0.16325012544168865,3.0,0,0,1.0,3.0,3.0,49.188500312433376,3.0,0.5173124927453354,0,,0,0,HOLD,3.2588235294117647,1,1,5,Semiconductors & Chips,"Applied Optoelectronics, Inc. - Common Stock",84386000.0
AAON,2026-08-21,5.0,0.13146654010441386,4.0,0,0,4.0,4.0,1.0,29.825889445911287,5.0,0.08146402114189488,0,,0,0,STRONG SELL,4.541176470588235,0,5,5,Industrial Machinery,"AAON, Inc. - Common Stock",82448037.0
AAP,2026-08-21,2.0,0.7204217651693485,4.0,0,0,5.0,3.0,1.0,28.049295400292834,5.0,0.17805496685912015,0,,0,0,SELL,3.6235294117647054,1,3,5,Retail,Advance Auto Parts Inc.,60000000.0
AAPG,2026-08-21,,,5.0,0,0,5.0,,2.0,37.877922239485905,5.0,0.009932696446360878,0,,0,0,STRONG SELL,5.0,0,3,3,Pharmaceuticals & Biotech,Ascentage Pharma Group International - American Depository Shares,
AAPL,2026-08-21,5.0,0.12282793945258971,2.0,0,0,2.0,1.0,3.0,47.39860420927631,2.0,0.7369657050362796,0,,0,0,HOLD,2.7411764705882353,4,1,5,Computer Hardware,Apple Inc. - Common Stock,14608963000.0
AARD,2026-08-21,3.0,0.5126023944549465,3.0,0,0,5.0,5.0,3.0,52.73401515768101,4.0,0.23977029387991308,0,,0,0,SELL,3.9411764705882355,0,3,5,Pharmaceuticals & Biotech,"Aardvark Therapeutics, Inc. - Common Stock",21884158.0
AAT,2026-08-21,4.0,0.4195497650513111,3.0,0,0,2.0,3.0,2.0,41.49353171021899,2.0,0.6507842054372989,1,1.0,0,0,HOLD,2.5941176470588236,2,1,5,Investment & Holding Companies,"American Assets Trust, Inc. Common Stock",61390936.0
