symbol,name,exchange,security_type,cik
A,"Agilent Technologies, Inc. Common Stock",NYSE,common_stock,0001090872
AA,Alcoa Corporation Common Stock,NYSE,common_stock,0001675149
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,common_stock,0001420529
AACI,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ,common_stock,0002092897
AACO,Abony Acquisition Corp. I - Class A Ordinary Share,NASDAQ,common_stock,0002099906
AACP,Apogee Acquisition Corp - Class A Ordinary Shares,NASDAQ,common_stock,0002102123
AADX,"Applied Aerospace & Defense, Inc. Common Stock",NYSE,common_stock,0002118195
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,common_stock,0000006201
AAME,Atlantic American Corporation - Common Stock,NASDAQ,common_stock,0000008177
AAMI,Acadian Asset Management Inc. Common Stock,NYSE,common_stock,0001748824
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,common_stock,0001158114
AAON,"AAON, Inc. - Common Stock",NASDAQ,common_stock,0000824142
AAP,Advance Auto Parts Inc.,NYSE,common_stock,0001158449
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,common_stock,0002023311
AAPL,Apple Inc. - Common Stock,NASDAQ,common_stock,0000320193
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,common_stock,0001774857
AAT,"American Assets Trust, Inc. Common Stock",NYSE,common_stock,0001500217
AAUC,Allied Gold Corporation Common Shares,NYSE,common_stock,0001993344
ABAT,American Battery Technology Company - Common Stock,NASDAQ,common_stock,0001576873
ABBV,AbbVie Inc. Common Stock,NYSE,common_stock,0001551152
ABCB,Ameris Bancorp Common Stock,NYSE,common_stock,0000351569
ABCL,AbCellera Biologics Inc. - Common Shares,NASDAQ,common_stock,0001703057
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,common_stock,0000318306
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NYSE,common_stock,0001565025
ABG,Asbury Automotive Group Inc Common Stock,NYSE,common_stock,0001144980
ABLV,Able View Global Inc. - Class B Ordinary Shares,NASDAQ,common_stock,0001957489
ABM,ABM Industries Incorporated Common Stock,NYSE,common_stock,0000771497
ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,common_stock,0001559720
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",NASDAQ,common_stock,0001576885
ABR,Arbor Realty Trust Common Stock,NYSE,common_stock,0001253986
ABSI,Absci Corporation - Common Stock,NASDAQ,common_stock,0001672688
ABT,Abbott Laboratories Common Stock,NYSE,common_stock,0000001800
ABTC,American Bitcoin Corp. - Class A Common Stock,NASDAQ,common_stock,0001755953
ABTS,Abits Group Inc - Ordinary Shares,NASDAQ,common_stock,0001864055
ABUS,Arbutus Biopharma Corporation - Common Stock,NASDAQ,common_stock,0001447028
ABVC,"ABVC BioPharma, Inc. - Common Stock",NASDAQ,common_stock,0001173313
ABVX,Abivax SA - American Depositary Shares,NASDAQ,common_stock,0001956827
ABX,"Abacus Global Management, Inc. Class A Common Stock",NYSE,common_stock,0001814287
ACA,"Arcosa, Inc. Common Stock",NYSE,common_stock,0001739445
ACAA,Averin Capital Acquisition Corp. - Class A Ordinary Shares,NASDAQ,common_stock,0002096900
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,common_stock,0001070494
ACB,Aurora Cannabis Inc. - Common Shares,NASDAQ,common_stock,0001683541
ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,NASDAQ,common_stock,0002038378
ACCO,Acco Brands Corporation Common Stock,NYSE,common_stock,0000712034
ACCS,ACCESS Newswire Inc. Common Stock,NYSE American,common_stock,0000843006
ACDC,ProFrac Holding Corp. - Class A Common Stock,NASDAQ,common_stock,0001881487
ACEL,"Accel Entertainment, Inc.",NYSE,common_stock,0001698991
ACET,"Adicet Bio, Inc. - Common Stock",NASDAQ,common_stock,0001720580
ACFN,"Acorn Energy, Inc. - Common Stock",NASDAQ,common_stock,0000880984
ACGC,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,NASDAQ,common_stock,0002111542
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,common_stock,0000947484
